Year,Description,
2012-2013,six years ago,
2012-13,six years ago,
12-13,six years ago,
13-14,five years ago,
2013-14,five years ago,
2013-2014,five years ago,
16-17,two years ago,
2016-2017,two years ago,
2016-17,two years ago,
2010-2011,eight years ago,
2010-11,eight years ago,
10-11,eight years ago,
2011-2012,seven years ago,
2011-12,seven years ago,
11-12,seven years ago,
14-15,four years ago,
2014-15,four years ago,
2014-2015,four years ago,
15-16,three years ago,
2015-16,three years ago,
2015-2016,three years ago,
2017-2018,last year,
2017-18,last year,
17-18,last year,
2018-19,earlier this year,
2018-2019,earlier this year,
18-19,earlier this year,
